Time [s],Packet ID,MOSI,MISO
0.0000053200,0,0x1000,
0.0000068600,0,0x2A80,
0.0000084000,0,0x2A80,
0.0000099200,0,0x2A80,
0.0000114600,0,0x2A80,
0.0000130000,0,0x2A80,
0.0000145400,0,0x2A80,
0.0000160800,0,0x2A80,
0.0000185600,1,0x0000,
0.0000201000,1,0xD500,
0.0000216400,1,0xD500,
0.0000231800,1,0xD500,
0.0000247200,1,0xD500,
0.0000262400,1,0xD500,
0.0000277800,1,0xD500,
0.0000293200,1,0xD500,
0.0000317200,2,0x0008,
0.0000332600,2,0x9088,
0.0000348000,2,0x9088,
0.0000363200,2,0x9088,
0.0000378600,2,0x9088,
0.0000394000,2,0x9088,
0.0000409400,2,0x9088,
0.0000424800,2,0x9088,
0.0000448800,3,0x0000,
0.0000464000,3,0x2A80,
0.0000479400,3,0x2A80,
0.0000494800,3,0x2A80,
0.0000510200,3,0x2A80,
0.0000525600,3,0x2A80,
0.0000540800,3,0x2A80,
0.0000556200,3,0x2A80,
0.0000580200,4,0x0000,
0.0000595600,4,0xAA80,
0.0000611000,4,0xAA80,
0.0000626400,4,0xAA80,
0.0000641600,4,0xAA80,
0.0000657000,4,0xAA80,
0.0000672400,4,0xAA80,
0.0000687800,4,0xAA80,
0.0000711800,5,0x0000,
0.0000727200,5,0x0000,
0.0000742400,5,0x0000,
0.0000757800,5,0x0000,
0.0000773200,5,0x0000,
0.0000788600,5,0x0000,
0.0000804000,5,0x0002,
0.0000819200,5,0x4602,
0.0000843200,6,0x0000,
0.0000858600,6,0x0000,
0.0000874000,6,0x0000,
0.0000889400,6,0x0000,
0.0000904800,6,0x0000,
0.0000920000,6,0x0000,
0.0000935400,6,0x0000,
0.0000950800,6,0x0000,
0.0000974800,7,0x0000,
0.0000990200,7,0x0000,
0.0001005600,7,0x0000,
0.0001020800,7,0x0000,
0.0001036200,7,0x0000,
0.0001051600,7,0x0000,
0.0001067000,7,0x0000,
0.0001082400,7,0x0000,
0.0001106400,8,0x0000,
0.0001121600,8,0x0000,
0.0001137000,8,0x0000,
