Time [s],Packet ID,MOSI,MISO
0.0000054200,0,0x1000,
0.0000069600,0,0x2A80,
0.0000085000,0,0x2A80,
0.0000100400,0,0x2A80,
0.0000115600,0,0x2A80,
0.0000131000,0,0x2A80,
0.0000146400,0,0x2A80,
0.0000161800,0,0x2A80,
0.0000186800,1,0x0000,
0.0000202000,1,0xD500,
0.0000217400,1,0xD500,
0.0000232800,1,0xD500,
0.0000248200,1,0xD500,
0.0000263600,1,0xD500,
0.0000278800,1,0xD500,
0.0000294200,1,0xD500,
0.0000318200,2,0x000F,
0.0000333600,2,0x820F,
0.0000349000,2,0x820F,
0.0000364400,2,0x820F,
0.0000379600,2,0x820F,
0.0000395000,2,0x820F,
0.0000410400,2,0x820F,
0.0000425800,2,0x820F,
0.0000449800,3,0x0000,
0.0000465200,3,0x2A80,
0.0000480400,3,0x2A80,
0.0000495800,3,0x2A80,
0.0000511200,3,0x2A80,
0.0000526600,3,0x2A80,
0.0000542000,3,0x2A80,
0.0000557200,3,0x2A80,
0.0000581200,4,0x0000,
0.0000596600,4,0xAA80,
0.0000612000,4,0xAA80,
0.0000627400,4,0xAA80,
0.0000642800,4,0xAA80,
0.0000658000,4,0xAA80,
0.0000673400,4,0xAA80,
0.0000688800,4,0xAA80,
0.0000712800,5,0x0000,
0.0000728200,5,0x0000,
0.0000743600,5,0x0000,
0.0000758800,5,0x0000,
0.0000774200,5,0x0000,
0.0000789600,5,0x0000,
0.0000805000,5,0x0002,
0.0000820400,5,0x4600,
0.0000844400,6,0x0000,
0.0000859600,6,0x0000,
0.0000875000,6,0x0000,
0.0000890400,6,0x0000,
0.0000905800,6,0x0000,
0.0000921200,6,0x0000,
0.0000936400,6,0x0000,
0.0000951800,6,0x0000,
0.0000975800,7,0x0000,
0.0000991200,7,0x0000,
0.0001006600,7,0x0000,
0.0001022000,7,0x0000,
0.0001037200,7,0x0000,
0.0001052600,7,0x0000,
0.0001068000,7,0x0000,
0.0001083400,7,0x0000,
0.0001107400,8,0x0000,
0.0001122800,8,0x0000,
0.0001138000,8,0x0000,
0.0001153400,8,0x0000,
0.0001168800,8,0x0000,
