Time [s],Packet ID,MOSI,MISO
0.0000000000,0,The initial (idle) state of the CLK line does not match the settings,
0.0000069000,2,0x1000,
0.0000084400,2,0x2A80,
0.0000099800,2,0x2A80,
0.0000115000,2,0x2A80,
0.0000130400,2,0x2A80,
0.0000145800,2,0x2A80,
0.0000161200,2,0x2A80,
0.0000176600,2,0x2A80,
0.0000201400,3,0x0000,
0.0000216800,3,0xD500,
0.0000232200,3,0xD500,
0.0000247600,3,0xD500,
0.0000263000,3,0xD500,
0.0000278200,3,0xD500,
0.0000293600,3,0xD500,
0.0000309000,3,0xD500,
0.0000333000,4,0x1FFA,
0.0000348400,4,0x807A,
0.0000363800,4,0x807A,
0.0000379000,4,0x807A,
0.0000394400,4,0x807A,
0.0000409800,4,0x807A,
0.0000425200,4,0x807A,
0.0000440600,4,0x807A,
0.0000464600,5,0xE000,
0.0000479800,5,0x2A80,
0.0000495200,5,0x2A80,
0.0000510600,5,0x2A80,
0.0000526000,5,0x2A80,
0.0000541400,5,0x2A80,
0.0000556800,5,0x2A80,
0.0000572000,5,0x2A80,
0.0000596000,6,0x0000,
0.0000611400,6,0xAA80,
0.0000626800,6,0xAA80,
0.0000642200,6,0xAA80,
0.0000657400,6,0xAA80,
0.0000672800,6,0xAA80,
0.0000688200,6,0xAA80,
0.0000703600,6,0xAA80,
0.0000727600,7,0x0000,
0.0000743000,7,0x0880,
0.0000758200,7,0x5601,
0.0000773600,7,0xC203,
0.0000789000,7,0xC984,
0.0000804400,7,0x7482,
0.0000819800,7,0xD200,
0.0000835000,7,0xE900,
0.0000859000,8,0x0000,
0.0000874400,8,0x0980,
0.0000889800,8,0x6501,
0.0000905200,8,0xE403,
0.0000920600,8,0xEE04,
0.0000936000,8,0x6082,
0.0000951200,8,0xA600,
0.0000966600,8,0xCE00,
0.0000990600,9,0x0000,
0.0001006000,9,0x0B00,
0.0001021400,9,0x7182,
0.0001036800,9,0x0784,
0.0001052000,9,0x0084,
0.0001067400,9,0x4D02,
0.0001082800,9,0x8980,
0.0001098200,9,0xBA80,
0.0001122200,10,0x0000,
0.0001137600,10,0x0C80,
0.0001152800,10,0x8402,
0.0001168200,10,0x2004,
0.0001183600,10,0x1384,
0.0001199000,10,0x3982,
0.0001214400,10,0x6080,
0.0001229600,10,0xA300,
0.0001253600,11,0x0000,
0.0001269000,11,0x0E80,
0.0001284400,11,0x9302,
0.0001299800,11,0x4604,
0.0001315200,11,0x2684,
0.0001330400,11,0x2682,
0.0001345800,11,0x4600,
0.0001361200,11,0x9300,
0.0001385200,12,0x0000,
0.0001400600,12,0x1000,
0.0001416000,12,0xA302,
0.0001431200,12,0x6084,
0.0001446600,12,0x3984,
0.0001462000,12,0x1382,
0.0001477400,12,0x2000,
0.0001492800,12,0x8400,
0.0001516800,13,0x0000,
0.0001532000,13,0x1300,
0.0001547400,13,0xBA82,
0.0001562800,13,0x8984,
0.0001578200,13,0x4D04,
0.0001593600,13,0x0082,
0.0001608800,13,0x0780,
0.0001624200,13,0x7180,
0.0001648200,14,0x0000,
0.0001663600,14,0x1600,
0.0001679000,14,0xCE02,
0.0001694400,14,0xA604,
0.0001709600,14,0x6083,
0.0001725000,14,0xEE01,
0.0001740400,14,0xE400,
0.0001755800,14,0x6500,
0.0001779800,15,0x0000,
0.0001795200,15,0x1980,
0.0001810400,15,0xE902,
0.0001825800,15,0xD204,
0.0001841200,15,0x7483,
0.0001856600,15,0xC981,
0.0001872000,15,0xC200,
0.0001887200,15,0x5600,
0.0001911200,16,0x0000,
0.0001926600,16,0x1D80,
0.0001942000,16,0xFF82,
0.0001957400,16,0xF084,
0.0001972800,16,0x7483,
0.0001988000,16,0xB781,
0.0002003400,16,0xA180,
0.0002018800,16,0x4B80,
0.0002042800,17,0x0000,
0.0002058200,17,0x2401,
0.0002073600,17,0x1703,
0.0002088800,17,0x0F84,
0.0002104200,17,0x8903,
0.0002119600,17,0x9401,
0.0002135000,17,0x8300,
0.0002150400,17,0x4280,
0.0002174400,18,0x0000,
0.0002189600,18,0x2A01,
0.0002205000,18,0x3803,
0.0002220400,18,0x2F84,
0.0002235800,18,0x8903,
0.0002251200,18,0x7181,
0.0002266400,18,0x6580,
0.0002281800,18,0x3780,
0.0002305800,19,0x0000,
0.0002321200,19,0x3001,
0.0002336600,19,0x4A03,
0.0002352000,19,0x5004,
0.0002367200,19,0x8903,
0.0002382600,19,0x5001,
0.0002398000,19,0x4A00,
0.0002413400,19,0x3000,
0.0002437400,20,0x0000,
0.0002452800,20,0x3781,
0.0002468000,20,0x6583,
0.0002483400,20,0x7184,
0.0002498800,20,0x8903,
0.0002514200,20,0x2F81,
0.0002529600,20,0x3800,
0.0002544800,20,0x2A00,
0.0002568800,21,0x0000,
0.0002584200,21,0x4281,
0.0002599600,21,0x8303,
0.0002615000,21,0x9404,
0.0002630400,21,0x8903,
0.0002645600,21,0x0F81,
0.0002661000,21,0x1700,
0.0002676400,21,0x2400,
0.0002700400,22,0x0000,
0.0002715800,22,0x4B81,
0.0002731200,22,0xA183,
0.0002746400,22,0xB784,
0.0002761800,22,0x7482,
0.0002777200,22,0xF080,
0.0002792600,22,0xFF80,
0.0002808000,22,0x1D80,
0.0002832000,23,0x0000,
0.0002847200,23,0x0240,
0.0002862600,23,0x1840,
0.0002878000,23,0x7901,
0.0002893400,23,0x04E1,
0.0002908800,23,0x31A0,
0.0002924000,23,0xBFE0,
0.0002939400,23,0x3FE0,
0.0002965400,24,0x0000,
0.0002980800,24,0x0A80,
0.0002996000,24,0x6D02,
0.0003011400,24,0x0784,
0.0003026800,24,0x2684,
0.0003042200,24,0xB182,
0.0003057600,24,0xE100,
0.0003072800,24,0xE200,
0.0003096800,25,0x0000,
0.0003112200,25,0x0B80,
0.0003127600,25,0x7F02,
0.0003143000,25,0x2004,
0.0003158400,25,0x4D04,
0.0003173600,25,0x9D02,
0.0003189000,25,0xB480,
0.0003204400,25,0xCE00,
0.0003228400,26,0x0000,
0.0003243800,26,0x0D80,
0.0003259200,26,0x8E02,
0.0003274400,26,0x4604,
0.0003289800,26,0x6084,
0.0003305200,26,0x8902,
0.0003320600,26,0x9780,
0.0003336000,26,0xB480,
0.0003360000,27,0x0000,
0.0003375400,27,0x0F80,
0.0003390600,27,0xA302,
0.0003406000,27,0x6E04,
0.0003421400,27,0x7484,
0.0003436800,27,0x7482,
0.0003452000,27,0x6E00,
0.0003467400,27,0xA300,
0.0003491400,28,0x0000,
0.0003506800,28,0x1200,
0.0003522200,28,0xB482,
0.0003537600,28,0x9784,
0.0003553000,28,0x8904,
0.0003568200,28,0x6082,
0.0003583600,28,0x4600,
0.0003599000,28,0x8E00,
0.0003623000,29,0x0000,
