Time [s],Packet ID,MOSI,MISO
0.0000000400,0,0x0000,
0.0000060800,3,0x1000,
0.0000076200,3,0x2A80,
0.0000091600,3,0x2A80,
0.0000107000,3,0x2A80,
0.0000122400,3,0x2A80,
0.0000137800,3,0x2A80,
0.0000153000,3,0x2A80,
0.0000168400,3,0x2A80,
0.0000193400,4,0x0000,
0.0000208800,4,0xD500,
0.0000224000,4,0xD500,
0.0000239400,4,0xD500,
0.0000254800,4,0xD500,
0.0000270200,4,0xD500,
0.0000285600,4,0xD500,
0.0000300800,4,0xD500,
0.0000325000,5,0x0038,
0.0000340200,5,0x0038,
0.0000355600,5,0x0038,
0.0000371000,5,0x0038,
0.0000386400,5,0x0038,
0.0000401800,5,0x0038,
0.0000417000,5,0x0038,
0.0000432400,5,0x0038,
0.0000456400,6,0x0000,
0.0000471800,6,0x2A80,
0.0000487200,6,0x2A80,
0.0000502600,6,0x2A80,
0.0000517800,6,0x2A80,
0.0000533200,6,0x2A80,
0.0000548600,6,0x2A80,
0.0000564000,6,0x2A80,
0.0000588000,7,0x0000,
0.0000603400,7,0xAA80,
0.0000618600,7,0xAA80,
0.0000634000,7,0xAA80,
0.0000649400,7,0xAA80,
0.0000664800,7,0xAA80,
0.0000680200,7,0xAA80,
0.0000695400,7,0xAA80,
0.0000719400,8,0x0000,
0.0000734800,8,0x0000,
0.0000750200,8,0x0800,
0.0000765600,8,0x1200,
0.0000781000,8,0x2800,
0.0000796200,8,0x5280,
0.0000811600,8,0x9800,
0.0000827000,8,0xFF81,
0.0000851000,9,0x0000,
0.0000866400,9,0x0080,
0.0000881800,9,0x0880,
0.0000897000,9,0x1300,
0.0000912400,9,0x2A00,
0.0000927800,9,0x5600,
0.0000943200,9,0x9D81,
0.0000958600,9,0x0701,
0.0000982600,10,0x0000,
0.0000997800,10,0x0100,
0.0001013200,10,0x0900,
0.0001028600,10,0x1400,
0.0001044000,10,0x2C00,
0.0001059400,10,0x5980,
0.0001074600,10,0xA301,
0.0001090000,10,0x0F01,
0.0001114000,11,0x0000,
0.0001129400,11,0x0180,
0.0001144800,11,0x0980,
0.0001160200,11,0x1500,
0.0001175400,11,0x2E00,
0.0001190800,11,0x5D00,
0.0001206200,11,0xA901,
0.0001221600,11,0x1701,
0.0001245600,12,0x0000,
0.0001261000,12,0x0200,
0.0001276200,12,0x0A00,
0.0001291600,12,0x1600,
0.0001307000,12,0x3000,
0.0001322400,12,0x6100,
0.0001337800,12,0xAE81,
0.0001353000,12,0x1F01,
0.0001377000,13,0x0000,
0.0001392400,13,0x0280,
0.0001407800,13,0x0A80,
0.0001423200,13,0x1700,
0.0001438600,13,0x3280,
0.0001453800,13,0x6500,
0.0001469200,13,0xB481,
0.0001484600,13,0x2701,
0.0001508600,14,0x0000,
0.0001524000,14,0x0300,
0.0001539400,14,0x0B00,
